Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1,Precious Achiuwa,PF-C,24,TOT,70,18,1577,7.4,14.7,.503,0.8,3.1,.263,6.6,11.6,.566,2.2,3.6,.616,6.0,9.2,15.2,3.1,1.5,2.1,2.6,4.5,17.8,,115,114
2,Bam Adebayo,C,26,MIA,66,66,2257,11.2,21.4,.521,0.2,0.7,.355,10.9,20.7,.526,6.4,8.4,.755,3.4,12.4,15.7,5.9,1.7,1.4,3.4,3.3,28.9,,115,110
3,Ochai Agbaji,SG,23,TOT,73,24,1492,5.4,13.0,.415,2.0,6.5,.305,3.4,6.5,.525,0.9,1.4,.659,2.3,4.4,6.6,2.5,1.4,1.2,1.9,3.5,13.7,,103,123
4,Santi Aldama,PF,23,MEM,61,35,1618,7.6,17.4,.435,3.3,9.3,.349,4.3,8.1,.534,1.7,2.7,.621,2.2,8.6,10.8,4.2,1.3,1.7,2.1,2.7,20.1,,109,115
5,Nickeil Alexander-Walker,SG,25,MIN,77,20,1805,6.0,13.6,.438,3.4,8.6,.393,2.6,5.1,.514,1.3,1.6,.793,0.9,3.5,4.4,5.3,1.6,1.1,2.0,3.8,16.6,,116,112
6,Grayson Allen,SG,28,PHO,70,70,2351,6.6,13.2,.503,4.0,8.6,.470,2.6,4.6,.566,2.6,2.9,.878,0.9,4.7,5.7,4.6,1.3,0.9,1.9,3.1,19.8,,132,118
7,Jarrett Allen,C,25,CLE,73,73,2313,10.6,16.8,.629,0.0,0.1,.000,10.6,16.7,.633,4.9,6.5,.746,5.0,11.7,16.8,4.3,1.1,1.7,2.5,3.1,26.0,,132,112
8,Timmy Allen,SF,24,MEM,1,0,26,1.9,11.5,.167,0.0,5.7,.000,1.9,5.7,.333,0.0,0.0,,0.0,3.8,3.8,0.0,0.0,0.0,1.9,3.8,3.8,,32,123
9,Jose Alvarado,PG,25,NOP,51,0,908,6.9,16.8,.408,3.6,9.7,.371,3.3,7.1,.458,1.8,2.7,.680,1.2,5.1,6.3,5.8,3.0,0.8,2.1,4.3,19.1,,111,112
10,Kyle Anderson,PF,30,MIN,74,10,1688,5.7,12.1,.472,0.3,1.3,.250,5.4,10.8,.499,2.8,3.9,.718,1.8,6.1,7.9,9.5,1.9,1.2,2.6,3.5,14.5,,117,110
11,Giannis Antetokounmpo,PF,29,MIL,71,71,2500,15.9,26.0,.613,0.7,2.4,.276,15.3,23.6,.647,9.8,14.9,.657,3.7,12.2,15.9,9.0,1.7,1.5,4.7,4.0,42.3,,127,113
12,Thanasis Antetokounmpo,PF,31,MIL,29,0,136,4.6,9.3,.500,0.0,0.4,.000,4.6,8.9,.520,0.0,0.7,.000,2.1,2.1,4.3,5.0,1.8,1.4,4.3,8.2,9.3,,89,119
13,Cole Anthony,PG,23,ORL,76,0,1727,9.0,20.8,.433,2.6,7.7,.336,6.4,13.2,.489,5.0,6.1,.820,1.8,6.9,8.7,6.5,1.8,1.0,3.4,4.9,25.6,,111,112
14,OG Anunoby,SF,26,TOT,45,45,1527,8.3,16.9,.494,3.0,8.0,.373,5.4,8.9,.603,2.2,2.8,.767,1.4,4.9,6.2,3.2,1.9,1.0,2.3,3.4,21.8,,115,119
15,Ryan Arcidiacono,PG,29,NYK,20,0,45,0.0,6.8,.000,0.0,6.8,.000,0.0,0.0,,0.0,0.0,,0.0,9.1,9.1,4.6,2.3,0.0,2.3,5.7,0.0,,33,113
16,Deni Avdija,SF,23,WAS,71,71,2112,8.5,16.8,.508,1.8,4.8,.377,6.7,11.9,.561,4.1,5.5,.744,1.9,9.6,11.4,6.0,1.3,0.7,3.3,3.9,23.0,,113,120
17,Deandre Ayton,C,25,POR,51,51,1656,11.6,20.1,.576,0.0,0.1,.200,11.5,19.9,.579,1.9,2.3,.821,4.9,12.1,17.1,2.5,1.5,1.2,2.8,3.1,25.1,,116,115
18,Udoka Azubuike,C,24,PHO,16,0,113,7.0,10.0,.696,0.0,0.0,,7.0,10.0,.696,1.3,5.7,.231,4.8,9.1,13.9,1.3,0.4,2.6,1.7,7.4,15.2,,119,115
19,Ibou Badji,C,21,POR,21,1,216,3.0,4.6,.650,0.0,0.0,,3.0,4.6,.650,1.4,2.8,.500,4.6,7.1,11.7,3.0,0.5,4.6,3.2,10.1,7.4,,107,116
20,Marvin Bagley III,C,24,TOT,50,25,1053,10.9,18.6,.586,0.4,1.0,.391,10.5,17.5,.597,4.4,5.7,.762,5.9,8.3,14.2,2.5,0.9,1.5,2.7,3.7,26.5,,123,120
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
21,Amari Bailey,PG,19,CHO,8,0,31,4.8,19.2,.250,0.0,8.0,.000,4.8,11.2,.429,1.6,3.2,.500,3.2,0.0,3.2,3.2,1.6,0.0,1.6,0.0,11.2,,70,125
22,Patrick Baldwin Jr.,SF,21,WAS,34,4,348,4.8,15.1,.315,2.5,9.3,.265,2.3,5.9,.395,1.9,2.9,.667,1.9,10.0,11.9,2.7,1.5,1.5,2.2,5.7,13.9,,88,118
23,LaMelo Ball,PG,22,CHO,22,22,711,12.8,29.6,.433,4.9,13.8,.355,7.9,15.8,.500,6.3,7.3,.865,2.0,5.9,7.9,12.3,2.8,0.3,5.8,5.5,36.8,,110,118
24,Mo Bamba,C,25,PHI,53,16,703,6.7,13.3,.500,1.7,4.3,.400,5.0,9.1,.547,2.3,3.4,.667,5.2,10.6,15.9,2.8,1.6,3.9,2.8,6.7,17.3,,116,110
25,Paolo Banchero,PF,21,ORL,75,75,2618,11.5,25.0,.459,2.2,6.2,.346,9.3,18.8,.497,7.1,9.9,.718,1.5,8.2,9.7,7.6,1.3,0.9,4.5,2.7,32.2,,109,112
26,Desmond Bane,SG,25,MEM,42,42,1443,12.4,26.7,.464,4.7,12.4,.381,7.7,14.3,.536,4.8,5.5,.870,1.2,5.1,6.4,7.9,1.5,0.8,3.9,4.1,34.3,,114,118
27,Dalano Banton,PG,24,TOT,50,8,902,9.5,22.8,.415,2.9,8.6,.331,6.6,14.2,.467,4.2,5.5,.760,2.2,6.6,8.8,5.8,1.5,0.9,3.5,3.3,26.0,,106,117
28,Dominick Barlow,PF,20,SAS,33,1,420,6.4,12.9,.496,0.3,1.0,.333,6.1,11.9,.510,3.3,4.8,.690,5.1,7.8,12.9,4.1,1.4,1.6,1.0,5.4,16.5,,126,117
29,Harrison Barnes,PF,31,SAC,77,77,2238,7.2,15.0,.477,3.2,8.0,.395,4.0,7.0,.571,3.0,3.8,.797,1.3,3.6,5.0,1.9,1.1,0.2,1.2,2.0,20.5,,122,121
30,Scottie Barnes,SG,22,TOR,60,60,2094,10.5,22.1,.475,2.4,6.9,.341,8.1,15.1,.536,4.6,5.9,.781,3.3,8.3,11.6,8.5,1.8,2.1,3.9,2.8,27.9,,114,118
31,RJ Barrett,SG,23,TOT,55,55,1736,11.6,23.7,.490,2.6,6.9,.371,9.1,16.8,.539,5.6,7.8,.710,1.4,7.0,8.4,5.2,0.9,0.6,3.2,3.5,31.4,,114,120
32,Charles Bassey,C,23,SAS,19,0,205,6.8,9.4,.725,0.0,0.2,.000,6.8,9.1,.744,1.2,1.4,.833,5.4,12.4,17.8,4.9,1.9,4.0,3.5,7.3,14.8,,126,111
33,Emoni Bates,SF,20,CLE,13,0,102,5.9,18.3,.324,4.4,13.8,.321,1.5,4.4,.333,0.5,2.0,.250,0.5,4.9,5.4,3.5,0.5,1.0,1.0,2.5,16.8,,95,118
34,Keita Bates-Diop,SF,28,TOT,53,8,665,5.3,12.3,.434,1.6,5.1,.304,3.8,7.2,.526,2.4,3.1,.762,2.3,5.8,8.1,2.8,1.9,1.6,1.1,2.6,14.6,,117,115
35,Nicolas Batum,PF,35,TOT,56,36,1404,3.9,8.4,.466,2.5,6.0,.406,1.5,2.3,.621,0.5,0.7,.714,2.4,5.8,8.1,4.2,1.5,1.3,1.4,3.6,10.8,,129,117
36,Darius Bazley,PF,23,TOT,4,0,43,4.6,10.2,.444,1.1,3.4,.333,3.4,6.8,.500,3.4,5.7,.600,1.1,6.8,8.0,2.3,3.4,1.1,4.6,0.0,13.7,,85,116
37,Bradley Beal,SG,30,PHO,48,48,1583,10.1,20.2,.500,2.5,6.5,.392,7.6,13.8,.551,3.0,3.8,.793,1.4,4.9,6.3,7.6,1.5,0.6,3.7,3.6,25.8,,115,118
38,Malik Beasley,SG,27,MIL,74,74,2214,6.6,15.0,.443,4.7,11.3,.418,1.9,3.7,.518,0.5,0.8,.714,0.9,5.2,6.1,2.2,1.3,0.2,1.1,3.2,18.6,,118,120
39,MarJon Beauchamp,SF,23,MIL,46,1,593,6.1,12.9,.478,2.3,5.9,.389,3.8,7.0,.553,1.6,2.3,.679,1.8,6.1,7.9,2.5,1.0,0.5,2.2,4.3,16.1,,110,120
40,Jules Bernard,SG,24,WAS,16,0,113,8.8,21.0,.420,3.8,10.5,.360,5.0,10.5,.480,1.7,3.4,.500,2.9,3.8,6.7,5.5,0.8,0.4,1.7,4.6,23.1,,110,125
41,Dāvis Bertāns,PF,31,TOT,39,1,586,6.6,16.9,.390,5.5,14.5,.380,1.1,2.5,.448,2.5,2.7,.906,0.8,3.8,4.6,2.9,1.9,0.8,1.1,4.1,21.1,,118,120
42,Patrick Beverley,PG,35,TOT,69,9,1356,5.2,12.8,.406,2.0,6.2,.320,3.2,6.7,.486,2.6,3.1,.814,1.6,6.2,7.8,7.1,1.5,1.1,2.3,4.5,14.9,,114,117
43,Saddiq Bey,SF,24,ATL,63,51,2062,6.8,16.4,.416,2.7,8.4,.316,4.2,8.0,.522,4.0,4.8,.837,3.9,5.8,9.7,2.2,1.2,0.3,1.3,2.1,20.4,,122,123
44,Goga Bitadze,C,24,ORL,57,33,933,6.6,10.8,.611,0.1,0.7,.154,6.5,10.2,.642,2.9,4.4,.659,5.8,9.1,14.9,4.2,1.6,3.8,2.2,5.6,16.2,,130,107
45,Onuralp Bitim,SG,24,CHI,20,0,230,6.1,14.9,.412,2.4,7.9,.306,3.7,7.0,.531,0.7,0.9,.750,1.3,5.3,6.6,2.9,0.7,0.4,1.5,4.4,15.3,,104,121
46,Bismack Biyombo,C,31,TOT,38,27,761,4.5,8.1,.556,0.0,0.0,,4.5,8.1,.556,1.6,3.3,.480,3.9,8.9,12.8,3.5,0.7,2.3,2.7,5.7,10.6,,107,115
47,Anthony Black,PG,20,ORL,65,33,1134,4.9,10.6,.459,1.5,4.0,.385,3.3,6.6,.503,2.2,3.5,.613,1.5,4.6,6.1,4.0,1.5,0.9,2.3,4.7,13.5,,108,114
48,Leaky Black,SF,24,CHO,23,3,233,4.1,8.7,.463,1.5,3.2,.467,2.6,5.5,.462,1.9,3.0,.643,1.7,6.6,8.3,4.1,1.1,1.7,1.1,3.4,11.5,,122,120
49,Buddy Boeheim,SF,24,DET,7,0,66,5.9,18.4,.320,5.2,15.5,.333,0.7,2.9,.250,3.7,3.7,1.000,0.7,5.2,5.9,2.2,0.0,0.7,0.0,2.9,20.6,,116,124
50,Bogdan Bogdanović,SG,31,ATL,75,29,2279,9.6,22.3,.430,4.9,13.0,.377,4.7,9.4,.503,3.0,3.2,.914,1.1,4.5,5.6,5.0,2.0,0.5,2.2,3.7,27.1,,117,122
51,Bojan Bogdanović,PF-SF,34,TOT,52,27,1391,10.3,22.7,.453,4.4,11.2,.394,5.9,11.5,.511,4.0,5.1,.783,0.7,4.4,5.2,3.3,1.0,0.2,3.5,3.3,28.9,,108,122
52,Bol Bol,PF,24,PHO,39,0,445,9.8,15.9,.618,2.4,5.4,.449,7.4,10.5,.705,1.7,2.1,.789,3.4,11.0,14.5,1.9,1.0,2.8,1.9,4.5,23.8,,132,112
53,Marques Bolden,C,25,TOT,7,0,55,6.3,8.1,.778,0.0,0.0,,6.3,8.1,.778,0.9,1.8,.500,3.6,13.5,17.1,0.0,0.9,0.9,0.9,5.4,13.5,,143,117
54,Devin Booker,PG,27,PHO,63,63,2252,13.2,26.8,.494,3.1,8.4,.370,10.1,18.4,.551,8.1,9.1,.885,1.1,5.3,6.4,9.7,1.2,0.6,3.6,4.2,37.6,,124,118
55,Brandon Boston Jr.,SF,22,LAC,28,0,249,9.3,22.0,.422,2.0,7.1,.286,7.3,14.9,.486,3.4,5.0,.680,2.2,4.6,6.9,1.4,0.8,1.4,2.2,6.5,24.0,,100,120
56,Chris Boucher,PF,31,TOR,50,0,705,7.6,15.1,.507,2.2,6.5,.330,5.5,8.6,.642,4.9,6.4,.772,4.3,10.1,14.4,1.6,1.0,1.7,1.9,4.7,22.4,,124,119
57,James Bouknight,SG,23,CHO,14,0,81,11.0,25.2,.439,8.0,18.4,.433,3.1,6.7,.455,0.6,1.2,.500,0.6,4.9,5.5,3.7,0.6,0.6,1.2,1.8,30.7,,116,124
58,Jamaree Bouyea,PG,24,POR,6,0,57,4.4,18.3,.238,0.0,7.0,.000,4.4,11.3,.385,0.0,0.0,,1.7,7.0,8.7,7.0,0.0,0.0,7.0,2.6,8.7,,55,122
59,Malaki Branham,PG,20,SAS,72,26,1503,8.2,18.9,.432,2.7,7.9,.343,5.5,11.0,.497,1.7,1.9,.885,0.9,3.6,4.4,4.9,0.8,0.2,2.8,2.9,20.8,,102,123
60,Christian Braun,SG,22,DEN,78,3,1552,6.7,14.6,.454,1.8,4.9,.376,4.8,9.8,.493,2.8,4.1,.696,2.3,7.0,9.3,3.8,1.2,1.0,1.7,4.3,18.0,,116,116
61,Mikal Bridges,SF,27,BRK,78,78,2758,10.0,22.9,.438,3.8,10.3,.371,6.2,12.5,.493,4.6,5.7,.813,1.2,5.4,6.6,5.3,1.5,0.5,2.9,2.0,28.5,,112,119
62,Miles Bridges,SF,25,CHO,65,63,2461,10.8,23.4,.461,3.1,8.7,.351,7.7,14.7,.527,3.4,4.1,.820,1.4,8.4,9.8,4.4,1.3,0.6,2.7,2.3,28.1,,109,120
63,Oshae Brissett,SF,25,BOS,51,1,584,5.0,11.2,.450,1.3,4.4,.288,3.7,6.7,.557,4.1,6.4,.640,4.6,7.7,12.3,3.4,1.4,0.4,1.4,4.3,15.4,,126,113
64,Izaiah Brockington,PG,24,NOP,1,0,3,32.9,82.3,.400,0.0,16.5,.000,32.9,65.8,.500,0.0,0.0,,16.5,16.5,32.9,0.0,0.0,0.0,0.0,0.0,65.8,,93,113
65,Malcolm Brogdon,PG,31,POR,39,25,1121,9.7,22.0,.440,3.6,8.8,.412,6.0,13.2,.458,4.2,5.1,.819,1.2,5.3,6.6,9.5,1.2,0.4,2.7,2.6,27.2,,120,120
66,Armoni Brooks,PG,25,BRK,10,0,104,7.2,22.1,.326,5.3,15.4,.344,1.9,6.7,.286,0.5,1.0,.500,3.4,5.3,8.6,2.4,0.5,0.5,1.4,1.4,20.2,,99,121
67,Dillon Brooks,SF,28,HOU,68,68,2094,7.2,16.8,.426,2.9,8.2,.354,4.3,8.7,.495,2.7,3.2,.841,1.1,4.3,5.4,2.6,1.4,0.2,2.0,5.1,20.0,,109,117
68,Bruce Brown,SG-PG,27,TOT,63,44,1776,7.0,15.0,.469,1.4,4.3,.323,5.7,10.7,.528,3.0,3.6,.842,1.4,6.0,7.5,4.9,1.6,0.5,2.2,3.8,18.5,,113,121
