PLAYER	,TEAM	,GP,W,L,MIN	,PTS	,TOUCHES	,FRONT CT TOUCHES	,TIME OF POSS	,AVG SEC PER TOUCH	,AVG DRIB PER TOUCH	,PTS PER TOUCH	,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH	,PTS PER POST TOUCH	,PTS PER PAINT TOUCH
AJ Green,MIL,56,35,21,11.0,4.5,12.4,7.7,0.4,1.92,1.15,0.364,0.1,0.0,0.2,0.400,0.000,0.615
AJ Griffin,ATL,20,8,12,8.5,2.4,8.5,5.4,0.3,1.99,1.50,0.284,0.1,0.0,0.2,0.000,0.000,0.500
Aaron Gordon,DEN,71,47,24,31.6,13.9,42.3,23.3,2.2,3.16,2.41,0.329,2.0,1.5,6.8,0.352,0.627,1.008
Aaron Holiday,HOU,78,39,39,16.3,6.6,25.9,10.3,1.8,4.14,4.00,0.254,0.1,0.0,0.1,0.400,0.000,0.727
Aaron Nesmith,IND,72,41,31,27.7,12.2,39.3,22.6,1.1,1.61,0.93,0.310,0.3,0.0,1.0,0.889,0.000,0.813
Aaron Wiggins,OKC,78,55,23,15.7,6.9,19.8,10.9,0.7,2.26,1.68,0.351,0.3,0.0,2.0,0.769,2.000,0.918
Adam Flagler,OKC,2,2,0,7.0,1.5,9.5,5.5,0.6,4.08,4.00,0.158,0.0,0.0,0.0,0.000,0.000,0.000
Adama Sanogo,CHI,9,3,6,7.3,4.0,9.8,5.8,0.2,1.44,0.50,0.409,0.8,0.3,3.7,0.857,1.000,0.939
Admiral Schofield,ORL,23,15,8,3.7,1.1,7.0,3.7,0.2,1.93,0.86,0.163,0.2,0.0,0.3,0.500,0.000,0.333
Al Horford,BOS,64,50,14,26.7,8.6,33.2,18.6,0.8,1.44,0.44,0.260,1.0,0.7,2.7,0.286,0.773,0.799
Alec Burks,NYK,66,18,48,18.4,10.4,30.0,18.2,1.4,2.80,2.21,0.348,0.2,0.0,0.3,0.692,0.667,1.136
Aleksej Pokusevski,CHA,27,13,14,14.7,5.1,22.8,13.1,0.8,2.20,1.18,0.226,0.8,0.1,0.9,0.455,1.000,1.208
Alex Caruso,CHI,70,34,36,28.6,10.1,52.7,23.3,2.3,2.60,1.89,0.191,0.5,0.0,1.1,0.361,0.500,0.658
Alex Fudge,DAL,6,1,5,6.7,2.5,6.7,4.3,0.2,1.77,1.15,0.375,0.0,0.0,0.5,0.000,0.000,1.333
Alex Len,SAC,48,24,24,9.3,2.5,14.4,9.3,0.3,1.36,0.38,0.173,1.6,0.1,2.6,0.355,0.000,0.752
Alondes Williams,MIA,7,5,2,2.2,0.7,5.4,2.1,0.5,5.19,4.45,0.132,0.0,0.0,0.0,0.000,0.000,0.000
Alperen Sengun,HOU,63,29,34,32.5,21.1,61.4,45.2,2.4,2.32,1.13,0.344,6.7,3.8,6.3,0.702,0.571,0.844
Amari Bailey,CHA,10,1,9,6.5,2.3,7.6,4.4,0.4,3.17,2.92,0.303,0.0,0.0,0.4,0.000,0.000,1.000
Amen Thompson,HOU,62,30,32,22.4,9.5,40.3,16.7,2.3,3.41,2.66,0.237,1.0,0.1,4.5,0.619,0.500,0.841
Amir Coffey,LAC,69,45,24,20.9,6.7,20.3,12.0,0.8,2.25,1.36,0.330,0.2,0.0,0.3,0.786,0.000,0.850
Andre Drummond,CHI,78,37,41,17.2,8.5,21.0,12.8,0.5,1.45,0.48,0.403,2.0,1.6,7.1,0.510,0.787,0.942
Andre Jackson Jr.,MIL,57,33,24,10.0,2.2,11.6,5.2,0.4,2.02,1.42,0.188,0.3,0.0,1.2,0.375,0.000,0.507
