Team,Wins
PreciousAchiuwa,"{0: '                Pass To  FREQ\xa0M%\n0         Toppin, Jacob      0.2\n1         Sims, Jericho      1.3\n2        McBride, Miles     11.9\n3        Flynn, Malachi      1.1\n4    Brown Jr., Charlie      0.2\n5       Grimes, Quentin      1.8\n6      Jeffries, DaQuan      0.2\n7       Diakite, Mamadi      0.1\n8         Milton, Shake      0.7\n9     DiVincenzo, Donte     10.5\n10       Brunson, Jalen     20.8\n11           Hart, Josh      9.5\n12  Hartenstein, Isaiah      2.1\n13          Anunoby, OG      1.3\n14    Arcidiacono, Ryan      0.1\n15       Randle, Julius      0.7\n16    Bogdanovic, Bojan      2.2\n17          Burks, Alec      2.7\n18          Gibson, Taj      0.2\n19         Dick, Gradey      0.8\n20      Barnes, Scottie      6.7\n21       Flynn, Malachi      8.5\n22     McDaniels, Jalen      1.0\n23      Trent Jr., Gary      3.7\n24       Boucher, Chris      0.8\n25          Anunoby, OG      1.8\n26       Siakam, Pascal      3.0\n27        Poeltl, Jakob      0.1\n28     Porter Jr., Otto      0.3\n29     Schroder, Dennis      5.6', 1: '              Pass From  FREQ\xa0R%\n0         Toppin, Jacob      0.2\n1         Sims, Jericho      2.4\n2        McBride, Miles     10.3\n3        Flynn, Malachi      0.9\n4    Brown Jr., Charlie      0.4\n5       Grimes, Quentin      1.7\n6      Jeffries, DaQuan      0.2\n7       Diakite, Mamadi      0.1\n8         Milton, Shake      0.5\n9     DiVincenzo, Donte     10.5\n10       Brunson, Jalen     14.2\n11           Hart, Josh     10.9\n12  Hartenstein, Isaiah      4.4\n13          Anunoby, OG      1.6\n14    Arcidiacono, Ryan      0.1\n15       Randle, Julius      0.7\n16       Fournier, Evan      0.1\n17    Bogdanovic, Bojan      2.8\n18          Burks, Alec      2.1\n19          Gibson, Taj      0.4\n20         Dick, Gradey      0.8\n21      Barnes, Scottie     10.1\n22       Flynn, Malachi      9.1\n23     McDaniels, Jalen      0.9\n24      Trent Jr., Gary      3.6\n25       Boucher, Chris      0.9\n26          Anunoby, OG      2.0\n27       Siakam, Pascal      3.7\n28     Porter Jr., Otto      0.5\n29     Schroder, Dennis      3.8\n30      Young, Thaddeus      0.1'}"
BamAdebayo,"{0: '               Pass To  FREQ\xa0M%\n0         Swider, Cole      0.3\n1          Cain, Jamal      0.2\n2    Jaquez Jr., Jaime      9.1\n3        Jovic, Nikola      4.1\n4           Smith, Dru      0.8\n5        Hampton, R.J.      0.3\n6         Herro, Tyler     16.2\n7   Highsmith, Haywood      3.2\n8     Robinson, Duncan     16.2\n9        Martin, Caleb      5.6\n10    Richardson, Josh      5.7\n11       Rozier, Terry     13.6\n12       Wright, Delon      1.0\n13       Butler, Jimmy     12.4\n14        Mills, Patty      1.3\n15         Love, Kevin      1.3\n16         Lowry, Kyle      8.8', 1: '             Pass From  FREQ\xa0R%\n0         Swider, Cole      0.2\n1          Cain, Jamal      0.4\n2    Jaquez Jr., Jaime     10.0\n3        Jovic, Nikola      5.7\n4           Smith, Dru      0.9\n5        Hampton, R.J.      0.5\n6         Herro, Tyler     13.5\n7   Highsmith, Haywood      4.7\n8     Robinson, Duncan     13.2\n9        Martin, Caleb      7.9\n10    Richardson, Josh      6.9\n11       Rozier, Terry     11.2\n12       Wright, Delon      1.4\n13       Butler, Jimmy     11.3\n14        Mills, Patty      0.7\n15         Love, Kevin      2.1\n16         Lowry, Kyle      9.6'}"
OchaiAgbaji,"{0: ""                   Pass To  FREQ\xa0M%\n0          Williams, Malik      0.2\n1             Dick, Gradey      3.1\n2        Gueye, Mouhamadou      0.2\n3   Freeman-Liberty, Javon      5.0\n4             Carton, D.J.      0.2\n5          Barnes, Scottie      2.1\n6       Quickley, Immanuel      8.6\n7         Ramsey, Jahmi'us      1.0\n8            Nwora, Jordan      1.3\n9         McDaniels, Jalen      0.4\n10             Barrett, RJ      2.3\n11         Trent Jr., Gary      2.3\n12          Porter, Jontay      1.2\n13            Brown, Bruce      4.5\n14          Boucher, Chris      0.1\n15           Simmons, Kobi      0.2\n16           Poeltl, Jakob      0.2\n17           Olynyk, Kelly      8.0\n18         Temple, Garrett      0.9\n19         George, Keyonte     18.9\n20       Hendricks, Taylor      0.8\n21      Fontecchio, Simone      1.2\n22         Kessler, Walker      1.6\n23         Yurtseven, Omer      0.9\n24           Samanic, Luka      0.5\n25    Horton-Tucker, Talen      6.6\n26          Sexton, Collin      7.4\n27           Collins, John      2.6\n28        Markkanen, Lauri      2.6\n29              Dunn, Kris      4.8\n30        Clarkson, Jordan      6.3\n31           Olynyk, Kelly      3.8"", 1: ""                 Pass From  FREQ\xa0R%\n0          Williams, Malik      0.8\n1             Dick, Gradey      3.7\n2        Gueye, Mouhamadou      0.2\n3   Freeman-Liberty, Javon      3.9\n4             Carton, D.J.      0.1\n5          Barnes, Scottie      3.0\n6       Quickley, Immanuel      6.4\n7         Ramsey, Jahmi'us      0.9\n8            Nwora, Jordan      1.5\n9         McDaniels, Jalen      0.6\n10             Barrett, RJ      2.0\n11         Trent Jr., Gary      1.3\n12          Porter, Jontay      1.7\n13            Brown, Bruce      3.4\n14          Boucher, Chris      0.1\n15           Simmons, Kobi      0.1\n16           Poeltl, Jakob      0.7\n17           Olynyk, Kelly     10.3\n18         Temple, Garrett      0.5\n19         George, Keyonte     14.9\n20       Hendricks, Taylor      0.8\n21      Fontecchio, Simone      2.1\n22         Kessler, Walker      2.3\n23           Potter, Micah      0.1\n24         Yurtseven, Omer      1.8\n25           Samanic, Luka      0.4\n26    Horton-Tucker, Talen      5.1\n27          Sexton, Collin      5.5\n28           Collins, John      2.7\n29        Markkanen, Lauri      3.5\n30              Dunn, Kris      5.9\n31        Clarkson, Jordan      5.3\n32           Olynyk, Kelly      8.5""}"
NickeilAlexander-Walker,"{0: '                Pass To  FREQ\xa0M%\n0          Minott, Josh      0.1\n1    Moore Jr., Wendell      0.0\n2           Garza, Luka      0.5\n3          Nix, Daishen      0.3\n4      McDaniels, Jaden      6.2\n5      Edwards, Anthony     22.6\n6             Reid, Naz     10.7\n7    McLaughlin, Jordan      5.5\n8         Milton, Shake      2.9\n9       Brown Jr., Troy      2.1\n10        Morris, Monte      2.8\n11  Towns, Karl-Anthony     11.3\n12       Anderson, Kyle     15.2\n13         Warren, T.J.      0.8\n14         Gobert, Rudy      5.7\n15         Conley, Mike     13.2', 1: '              Pass From  FREQ\xa0R%\n0          Minott, Josh      0.0\n1    Moore Jr., Wendell      0.1\n2           Garza, Luka      0.3\n3          Nix, Daishen      0.1\n4      McDaniels, Jaden      6.5\n5      Edwards, Anthony     17.2\n6             Reid, Naz     14.4\n7    McLaughlin, Jordan      6.3\n8         Milton, Shake      2.5\n9       Brown Jr., Troy      2.1\n10        Morris, Monte      2.9\n11  Towns, Karl-Anthony      9.8\n12       Anderson, Kyle     13.8\n13         Warren, T.J.      0.7\n14         Gobert, Rudy     11.8\n15         Conley, Mike     11.4'}"
GraysonAllen,"{0: ""              Pass To  FREQ\xa0M%\n0        Roddy, David      0.1\n1     Goodwin, Jordan      3.4\n2          Lee, Saben      0.8\n3       Maledon, Theo      0.1\n4      Little, Nassir      1.0\n5            Bol, Bol      1.3\n6       Eubanks, Drew      2.5\n7      Watanabe, Yuta      0.3\n8        Okogie, Josh      2.5\n9      Metu, Chimezie      0.9\n10  Bates-Diop, Keita      1.6\n11    Azubuike, Udoka      0.2\n12     O'Neale, Royce      3.2\n13      Booker, Devin     25.0\n14      Nurkic, Jusuf     15.0\n15      Beal, Bradley     13.7\n16       Gordon, Eric      8.6\n17    Young, Thaddeus      0.2\n18      Durant, Kevin     19.8"", 1: ""            Pass From  FREQ\xa0R%\n0        Roddy, David      0.1\n1     Goodwin, Jordan      2.4\n2      Wainright, Ish      0.0\n3          Lee, Saben      0.7\n4       Maledon, Theo      0.0\n5      Little, Nassir      1.3\n6            Bol, Bol      1.0\n7       Eubanks, Drew      4.5\n8      Watanabe, Yuta      0.6\n9        Okogie, Josh      3.8\n10     Metu, Chimezie      1.5\n11  Bates-Diop, Keita      2.1\n12    Azubuike, Udoka      0.2\n13     O'Neale, Royce      5.3\n14      Booker, Devin     22.0\n15      Nurkic, Jusuf     16.3\n16      Beal, Bradley     13.1\n17       Gordon, Eric      7.5\n18    Young, Thaddeus      0.3\n19      Durant, Kevin     17.2""}"
JarrettAllen,"{0: '               Pass To  FREQ\xa0M%\n0    Porter Jr., Craig      5.9\n1         Bates, Emoni      0.1\n2       Mobley, Isaiah      0.1\n3         Mobley, Evan      3.8\n4         Merrill, Sam      3.2\n5         Okoro, Isaac      6.0\n6           Wade, Dean      2.5\n7      Garland, Darius     21.5\n8           Strus, Max     15.3\n9    Mitchell, Donovan     25.9\n10      Niang, Georges      3.6\n11       LeVert, Caris     11.8\n12       Jones, Damian      0.0\n13  Morris Sr., Marcus      0.3', 1: '             Pass From  FREQ\xa0R%\n0    Porter Jr., Craig      4.9\n1         Bates, Emoni      0.2\n2       Mobley, Isaiah      0.0\n3         Mobley, Evan      4.4\n4         Merrill, Sam      4.5\n5         Okoro, Isaac      8.8\n6           Wade, Dean      3.8\n7      Garland, Darius     18.4\n8           Strus, Max     19.2\n9    Mitchell, Donovan     17.3\n10      Niang, Georges      4.5\n11       LeVert, Caris     13.7\n12       Jones, Damian      0.0\n13  Morris Sr., Marcus      0.2'}"
JoseAlvarado,"{0: '                    Pass To  FREQ\xa0M%\n0           Hawkins, Jordan      4.8\n1            Daniels, Dyson      6.1\n2             Liddell, E.J.      0.1\n3          Murphy III, Trey      6.7\n4            Jones, Herbert      4.9\n5   Robinson-Earl, Jeremiah      2.9\n6                Ryan, Matt      0.6\n7            Marshall, Naji     12.2\n8           Lewis Jr., Kira      0.5\n9          Williamson, Zion     15.8\n10          Ingram, Brandon     15.2\n11         Nance Jr., Larry      8.7\n12             Zeller, Cody      4.5\n13             McCollum, CJ      7.4\n14       Valanciunas, Jonas      9.6', 1: '                  Pass From  FREQ\xa0R%\n0           Hawkins, Jordan      4.7\n1            Daniels, Dyson      7.9\n2             Liddell, E.J.      0.3\n3          Murphy III, Trey      8.0\n4            Jones, Herbert      7.4\n5   Robinson-Earl, Jeremiah      2.7\n6                Ryan, Matt      0.7\n7            Marshall, Naji     15.8\n8           Lewis Jr., Kira      0.5\n9          Williamson, Zion     13.9\n10          Ingram, Brandon      9.8\n11         Nance Jr., Larry      7.4\n12             Zeller, Cody      5.3\n13             McCollum, CJ      4.2\n14       Valanciunas, Jonas     11.6'}"
KyleAnderson,"{0: '                      Pass To  FREQ\xa0M%\n0          Moore Jr., Wendell      0.1\n1                 Garza, Luka      0.1\n2                Nix, Daishen      0.1\n3            McDaniels, Jaden      5.6\n4            Edwards, Anthony     18.6\n5                   Reid, Naz     14.6\n6   Alexander-Walker, Nickeil     13.6\n7          McLaughlin, Jordan      4.8\n8               Milton, Shake      4.5\n9             Brown Jr., Troy      1.4\n10              Morris, Monte      3.8\n11        Towns, Karl-Anthony     11.4\n12               Warren, T.J.      0.2\n13               Gobert, Rudy      5.7\n14               Conley, Mike     15.5', 1: '                    Pass From  FREQ\xa0R%\n0          Moore Jr., Wendell      0.2\n1                 Garza, Luka      0.1\n2                Nix, Daishen      0.3\n3            McDaniels, Jaden      3.9\n4            Edwards, Anthony     16.5\n5                   Reid, Naz     11.7\n6   Alexander-Walker, Nickeil     16.5\n7          McLaughlin, Jordan      6.9\n8               Milton, Shake      5.4\n9             Brown Jr., Troy      1.7\n10              Morris, Monte      3.6\n11        Towns, Karl-Anthony      8.4\n12               Warren, T.J.      0.2\n13               Gobert, Rudy      7.4\n14               Conley, Mike     17.1'}"
GiannisAntetokounmpo,"{0: '                    Pass To  FREQ\xa0M%\n0         Livingston, Chris      0.1\n1        Jackson Jr., Andre      1.8\n2                 Green, AJ      2.1\n3      Washington Jr., TyTy      0.1\n4         Beauchamp, MarJon      1.9\n5            Beasley, Malik     10.0\n6          Connaughton, Pat      8.9\n7             Portis, Bobby      8.3\n8            Payne, Cameron      6.2\n9   Antetokounmpo, Thanasis      0.1\n10         Middleton, Khris     12.6\n11             Crowder, Jae      4.8\n12          Lillard, Damian     31.8\n13        Beverley, Patrick      3.3\n14             Lopez, Robin      0.1\n15             Lopez, Brook      7.6\n16        Gallinari, Danilo      0.3', 1: '                  Pass From  FREQ\xa0R%\n0         Livingston, Chris      0.1\n1        Jackson Jr., Andre      1.8\n2                 Green, AJ      1.7\n3      Washington Jr., TyTy      0.1\n4         Beauchamp, MarJon      1.7\n5            Beasley, Malik      8.2\n6          Connaughton, Pat     10.7\n7             Portis, Bobby      7.7\n8            Payne, Cameron      7.4\n9   Antetokounmpo, Thanasis      0.1\n10         Middleton, Khris     14.0\n11             Crowder, Jae      5.1\n12          Lillard, Damian     30.4\n13        Beverley, Patrick      3.8\n14             Lopez, Robin      0.0\n15             Lopez, Brook      6.8\n16        Gallinari, Danilo      0.4'}"
ThanasisAntetokounmpo,"{0: '                   Pass To  FREQ\xa0M%\n0        Livingston, Chris      3.4\n1       Jackson Jr., Andre     11.0\n2                Green, AJ     17.8\n3            Rollins, Ryan      1.7\n4     Washington Jr., TyTy     16.1\n5        Beauchamp, MarJon     10.2\n6       Wigginton, Lindell      1.7\n7           Beasley, Malik      1.7\n8         Connaughton, Pat      8.5\n9            Portis, Bobby      0.8\n10          Payne, Cameron      3.4\n11  Antetokounmpo, Giannis      3.4\n12        Middleton, Khris      0.8\n13         Lillard, Damian      5.1\n14       Beverley, Patrick      4.2\n15            Lopez, Robin      2.5\n16            Lopez, Brook      3.4\n17       Gallinari, Danilo      4.2', 1: '                 Pass From  FREQ\xa0R%\n0        Livingston, Chris      4.9\n1       Jackson Jr., Andre     15.6\n2                Green, AJ     11.5\n3            Rollins, Ryan      0.8\n4     Washington Jr., TyTy     18.9\n5        Beauchamp, MarJon     11.5\n6           Beasley, Malik      0.8\n7         Connaughton, Pat      9.0\n8            Portis, Bobby      2.5\n9           Payne, Cameron      4.9\n10  Antetokounmpo, Giannis      3.3\n11         Lillard, Damian      3.3\n12       Beverley, Patrick      6.6\n13            Lopez, Robin      3.3\n14            Lopez, Brook      1.6\n15       Gallinari, Danilo      1.6'}"
